# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/per-student-spending-declines
# rows: 1162 (excluding this header and the column row)
# ranking: Texas school districts with the largest per-student spending declines since 2018
# population: 1,162 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 22 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2018,2025,enrollment,url
155,1162,0,027903,Burnet CISD,Burnet,C,2086,12369,14455,3224,https://txschools.net/district/burnet-cisd-027903
156,1162,0,180902,Vega ISD,Oldham,A,2123,19418,21541,354,https://txschools.net/district/vega-isd-180902
157,1162,0,030902,Clyde CISD,Callahan,B,2167,12769,14936,1421,https://txschools.net/district/clyde-cisd-030902
158,1162,0,061805,Trivium Academy,Denton,B,2196,8717,10913,503,https://txschools.net/district/trivium-academy-061805
159,1162,0,234906,Van ISD,Van Zandt,B,2200,11458,13658,2265,https://txschools.net/district/van-isd-234906
160,1162,0,101821,Houston Heights High School,Harris,A,2201,10926,13127,152,https://txschools.net/district/houston-heights-high-school-101821
161,1162,0,101804,George I Sanchez Charter,Harris,C,2213,11238,13451,941,https://txschools.net/district/george-i-sanchez-charter-101804
162,1162,0,014903,Belton ISD,Bell,B,2226,12852,15078,13516,https://txschools.net/district/belton-isd-014903
163,1162,0,184903,Weatherford ISD,Parker,B,2234,12966,15200,8118,https://txschools.net/district/weatherford-isd-184903
164,1162,0,057906,Desoto ISD,Dallas,C,2235,15847,18082,5564,https://txschools.net/district/desoto-isd-057906
165,1162,0,070901,Avalon ISD,Ellis,B,2245,10991,13236,316,https://txschools.net/district/avalon-isd-070901
166,1162,0,014801,Richard Milburn Alter High School (Killeen),Bell,C,2246,7947,10193,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
167,1162,0,137904,Santa Gertrudis ISD,Kleberg,A,2262,11695,13957,813,https://txschools.net/district/santa-gertrudis-isd-137904
168,1162,0,111902,Lipan ISD,Hood,B,2287,13812,16099,492,https://txschools.net/district/lipan-isd-111902
169,1162,0,234904,Grand Saline ISD,Van Zandt,B,2290,13647,15937,1205,https://txschools.net/district/grand-saline-isd-234904
170,1162,0,071809,Vista Del Futuro Charter School,El Paso,B,2304,9561,11865,346,https://txschools.net/district/vista-del-futuro-charter-school-071809
171,1162,0,057804,Texans Can Academies,Dallas,B,2310,10151,12461,2880,https://txschools.net/district/texans-can-academies-057804
172,1162,0,040901,Morton ISD,Cochran,B,2315,15139,17454,350,https://txschools.net/district/morton-isd-040901
